	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (Selected)	Opportunity (Selected)	KC (ptype_selection)	Opportunity (ptype_selection)	Prediction
42713	32	Streak Agent(1)	AD 7_8_plus_4_3	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	33	JCommTable8.R0C0	5	AD JCommTable8.R0C0	5	0.7926423932179109
42714	33	Streak Agent(1)	AD 7_8_plus_4_3	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	1	1	0	Single-KC	34	JCommTable4.R1C0	5	AD JCommTable4.R1C0	5	0.7693478952388354
42715	34	Streak Agent(1)	AD 7_8_plus_4_3	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	35	JCommTable5.R1C0	5	AD JCommTable5.R1C0	5	0.846591216817137
42716	35	Streak Agent(1)	AD 7_8_plus_4_3	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	Single-KC	36	JCommTable5.R0C0	5	AD JCommTable5.R0C0	5	0.5002948635659958
42717	36	Streak Agent(1)	AD 7_8_plus_4_3	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	correct	1	1	0	Single-KC	37	JCommTable4.R0C0	5	AD JCommTable4.R0C0	5	0.6211900896282218
42718	37	Streak Agent(1)	AD 7_8_plus_4_3	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	Single-KC	38	JCommTable6.R0C0	5	AD JCommTable6.R0C0	5	0.584399930976697
42719	38	Streak Agent(1)	AD 7_8_plus_4_3	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	39	JCommTable6.R1C0	5	AD JCommTable6.R1C0	5	0.48855212560546524
42720	39	Streak Agent(1)	AD 7_8_plus_4_3	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	40	done	5	AD done	5	0.9265589834307361
42721	40	Streak Agent(1)	AD 4_7_plus_10_9	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	41	JCommTable8.R0C0	6	AD JCommTable8.R0C0	6	0.7974924541619132
42722	41	Streak Agent(1)	AD 4_7_plus_10_9	1	JCommTable5.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	1	Single-KC	42	JCommTable5.R1C0	6	AD JCommTable5.R1C0	6	0.9186657655463033
42723	42	Streak Agent(1)	AD 4_7_plus_10_9	1	JCommTable4.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	0	Single-KC	43	JCommTable4.R0C0	6	AD JCommTable4.R0C0	6	0.6955522650428161
42724	43	Streak Agent(1)	AD 4_7_plus_10_9	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	44	JCommTable4.R1C0	6	AD JCommTable4.R1C0	6	0.8335395387337805
42725	44	Streak Agent(1)	AD 4_7_plus_10_9	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	0	Single-KC	45	JCommTable6.R0C0	6	AD JCommTable6.R0C0	6	0.595763727624955
42726	45	Streak Agent(1)	AD 4_7_plus_10_9	1	JCommTable5.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	Single-KC	46	JCommTable5.R0C0	6	AD JCommTable5.R0C0	6	0.5763558427748235
42727	46	Streak Agent(1)	AD 4_7_plus_10_9	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	Single-KC	47	JCommTable6.R1C0	6	AD JCommTable6.R1C0	6	0.49916167946839246
42728	47	Streak Agent(1)	AD 4_7_plus_10_9	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	48	done	6	AD done	6	0.9623938438895013
42729	48	Streak Agent(1)	AD 8_1_plus_1_9	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	49	JCommTable8.R0C0	7	AD JCommTable8.R0C0	7	0.8022573736793911
42730	49	Streak Agent(1)	AD 8_1_plus_1_9	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	50	JCommTable4.R1C0	7	AD JCommTable4.R1C0	7	0.8825926152627744
42731	50	Streak Agent(1)	AD 8_1_plus_1_9	1	JCommTable5.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	1	1	0	Single-KC	51	JCommTable5.R1C0	7	AD JCommTable5.R1C0	7	0.9585366893421433
42732	51	Streak Agent(1)	AD 8_1_plus_1_9	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	52	JCommTable4.R0C0	7	AD JCommTable4.R0C0	7	0.7609347050517995
42733	52	Streak Agent(1)	AD 8_1_plus_1_9	1	JCommTable5.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	53	JCommTable5.R0C0	7	AD JCommTable5.R0C0	7	0.6489628349139621
42734	53	Streak Agent(1)	AD 8_1_plus_1_9	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	54	JCommTable6.R1C0	7	AD JCommTable6.R1C0	7	0.5097719882956924
42735	54	Streak Agent(1)	AD 8_1_plus_1_9	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	55	JCommTable6.R0C0	7	AD JCommTable6.R0C0	7	0.6070257445352449
42736	55	Streak Agent(1)	AD 8_1_plus_1_9	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	56	done	7	AD done	7	0.9811000820018262
42737	56	Streak Agent(1)	AD 6_1_plus_5_1	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	57	JCommTable8.R0C0	8	AD JCommTable8.R0C0	8	0.8069373185840301
42738	57	Streak Agent(1)	AD 6_1_plus_5_1	1	JCommTable4.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	58	JCommTable4.R1C0	8	AD JCommTable4.R1C0	8	0.91860216979664
42739	58	Streak Agent(1)	AD 6_1_plus_5_1	1	JCommTable5.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	59	JCommTable5.R1C0	8	AD JCommTable5.R1C0	8	0.9793027991237547
42740	59	Streak Agent(1)	AD 6_1_plus_5_1	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	60	JCommTable4.R0C0	8	AD JCommTable4.R0C0	8	0.8159904434084743
42741	60	Streak Agent(1)	AD 6_1_plus_5_1	1	JCommTable5.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	61	JCommTable5.R0C0	8	AD JCommTable5.R0C0	8	0.7152733735430886
42742	61	Streak Agent(1)	AD 6_1_plus_5_1	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	62	JCommTable6.R1C0	8	AD JCommTable6.R1C0	8	0.5203735001214133
42743	62	Streak Agent(1)	AD 6_1_plus_5_1	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	63	JCommTable6.R0C0	8	AD JCommTable6.R0C0	8	0.6181750903275798
42744	63	Streak Agent(1)	AD 6_1_plus_5_1	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	64	done	8	AD done	8	0.9905923301381143
42745	64	Streak Agent(1)	AD 6_5_plus_3_10	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	65	JCommTable8.R0C0	9	AD JCommTable8.R0C0	9	0.8115325237342298
42746	65	Streak Agent(1)	AD 6_5_plus_3_10	1	JCommTable4.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	66	JCommTable4.R1C0	9	AD JCommTable4.R1C0	9	0.9442648200793872
42747	66	Streak Agent(1)	AD 6_5_plus_3_10	1	JCommTable5.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	67	JCommTable5.R1C0	9	AD JCommTable5.R1C0	9	0.9897794926634979
42748	67	Streak Agent(1)	AD 6_5_plus_3_10	1	JCommTable4.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	68	JCommTable4.R0C0	9	AD JCommTable4.R0C0	9	0.8606883613299474
42749	68	Streak Agent(1)	AD 6_5_plus_3_10	1	JCommTable5.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	69	JCommTable5.R0C0	9	AD JCommTable5.R0C0	9	0.7734310553734776
42750	69	Streak Agent(1)	AD 6_5_plus_3_10	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	70	JCommTable6.R1C0	9	AD JCommTable6.R1C0	9	0.5309566946293646
42751	70	Streak Agent(1)	AD 6_5_plus_3_10	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	71	JCommTable6.R0C0	9	AD JCommTable6.R0C0	9	0.6292013363493569
42752	71	Streak Agent(1)	AD 6_5_plus_3_10	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	72	done	9	AD done	9	0.9953398595770517
42753	72	Streak Agent(1)	M 6_7_times_9_5	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04		1/1/1970 0:04	incorrect	1	0	0	Single-KC	73	JCommTable8.R0C0	10	M  JCommTable8.R0C0	1	5.386490730321392e-66
42754	73	Streak Agent(1)	M 6_7_times_9_5	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:05	hint	2	1	1	Single-KC	74	JCommTable6.R0C0	10	M  JCommTable6.R0C0	1	0.3762010330378891
42755	74	Streak Agent(1)	M 6_7_times_9_5	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	incorrect	1	1	1	Single-KC	75	done	10	M  done	1	0.48875135728721086
42756	75	Streak Agent(1)	M 6_7_times_9_5	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	hint	1	1	1	Single-KC	76	JCommTable6.R1C0	10	M  JCommTable6.R1C0	1	0.5735054272864863
42757	76	Streak Agent(1)	M 8_2_times_8_5	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05		1/1/1970 0:05	incorrect	1	0	0	Single-KC	77	JCommTable8.R0C0	11	M  JCommTable8.R0C0	2	5.386490730321392e-66
42758	77	Streak Agent(1)	M 8_2_times_8_5	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	78	JCommTable6.R0C0	11	M  JCommTable6.R0C0	2	0.46179700657405687
42759	78	Streak Agent(1)	M 8_2_times_8_5	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	79	JCommTable6.R1C0	11	M  JCommTable6.R1C0	2	0.614685596233876
42760	79	Streak Agent(1)	M 8_2_times_8_5	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	80	done	11	M  done	2	0.6761605842846103
42761	80	Streak Agent(1)	M 10_4_times_6_4	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	1	1	0	Single-KC	81	JCommTable6.R1C0	12	M  JCommTable6.R1C0	3	0.6542864693912901
42762	81	Streak Agent(1)	M 10_4_times_6_4	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	82	JCommTable6.R0C0	12	M  JCommTable6.R0C0	3	0.5497062048158867
42763	82	Streak Agent(1)	M 10_4_times_6_4	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	83	done	12	M  done	3	0.8201505540541716
42764	83	Streak Agent(1)	AS 4_1_plus_3_1	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05		1/1/1970 0:05	incorrect	1	0	0	Single-KC	84	JCommTable8.R0C0	12	AS JCommTable8.R0C0	1	1.6872276672891934e-72
42765	84	Streak Agent(1)	AS 4_1_plus_3_1	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	incorrect	2	1	1	Single-KC	85	JCommTable6.R0C0	13	AS JCommTable6.R0C0	1	0.7039540147224405
42766	85	Streak Agent(1)	AS 4_1_plus_3_1	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	86	JCommTable6.R1C0	13	AS JCommTable6.R1C0	1	0.6893075584021836
42767	86	Streak Agent(1)	AS 4_1_plus_3_1	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	87	done	13	AS done	1	0.5392098009975579
42768	87	Streak Agent(1)	M 7_5_times_9_7	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	88	JCommTable6.R1C0	14	M  JCommTable6.R1C0	4	0.6918576372890387
42769	88	Streak Agent(1)	M 7_5_times_9_7	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	89	JCommTable6.R0C0	14	M  JCommTable6.R0C0	4	0.6346175253471141
42770	89	Streak Agent(1)	M 7_5_times_9_7	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	Single-KC	90	done	14	M  done	4	0.9087571146082615
42771	90	Streak Agent(1)	AS 9_2_plus_5_2	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:06	1/1/1970 0:06	incorrect	2	1	1	Single-KC	91	JCommTable6.R1C0	15	AS JCommTable6.R1C0	2	0.6951681192739443
42772	91	Streak Agent(1)	AS 9_2_plus_5_2	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05		1/1/1970 0:05	incorrect	1	0	0	Single-KC	92	JCommTable8.R0C0	13	AS JCommTable8.R0C0	2	1.6872276672891934e-72
42773	92	Streak Agent(1)	AS 9_2_plus_5_2	1	JCommTable6.R0C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	93	JCommTable6.R0C0	15	AS JCommTable6.R0C0	2	0.7170910795678523
42774	93	Streak Agent(1)	AS 9_2_plus_5_2	1	done	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	94	done	15	AS done	2	0.7848181992793041
42775	94	Streak Agent(1)	AS 3_9_plus_3_9	1	JCommTable6.R0C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	95	JCommTable6.R0C0	16	AS JCommTable6.R0C0	3	0.7298688870350721
42776	95	Streak Agent(1)	AS 3_9_plus_3_9	1	JCommTable6.R1C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	incorrect	1	1	0	Single-KC	96	JCommTable6.R1C0	16	AS JCommTable6.R1C0	3	0.7009660903026781
42777	96	Streak Agent(1)	AS 3_9_plus_3_9	1	done	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	97	done	16	AS done	3	0.9191442066150218
42778	97	Streak Agent(1)	AS 2_3_plus_10_3	1	JCommTable6.R0C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	1	1	0	Single-KC	98	JCommTable6.R0C0	17	AS JCommTable6.R0C0	4	0.7422769918854345
42779	98	Streak Agent(1)	AS 2_3_plus_10_3	1	JCommTable6.R1C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	Single-KC	99	JCommTable6.R1C0	17	AS JCommTable6.R1C0	4	0.706700310516688
