	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)	KC (Single-KC)	Opportunity (Single-KC)	Prediction
3452	21	BKT Controller_random(1)	AD 8_7_plus_3_3	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	3	1	1	AD JCommTable4.R0C0	3	JCommTable4.R0C0	3	Single-KC	22	0.3734296407736004
3453	22	BKT Controller_random(1)	AD 8_7_plus_3_3	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	1	1	0	AD JCommTable5.R0C0	3	JCommTable5.R0C0	3	Single-KC	23	0.2754507495302177
3454	23	BKT Controller_random(1)	AD 8_7_plus_3_3	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD done	3	done	3	Single-KC	24	0.3651360709747185
3455	24	BKT Controller_random(1)	AD 7_4_plus_3_7	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable8.R0C0	4	JCommTable8.R0C0	4	Single-KC	25	0.797490053424763
3456	25	BKT Controller_random(1)	AD 7_4_plus_3_7	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable4.R1C0	4	JCommTable4.R1C0	4	Single-KC	26	0.630492747887685
3457	26	BKT Controller_random(1)	AD 7_4_plus_3_7	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	3	1	0	AD JCommTable6.R1C0	4	JCommTable6.R1C0	4	Single-KC	27	0.41215367557374105
3458	27	BKT Controller_random(1)	AD 7_4_plus_3_7	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable4.R0C0	4	JCommTable4.R0C0	4	Single-KC	28	0.46776489001551064
3459	28	BKT Controller_random(1)	AD 7_4_plus_3_7	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable5.R1C0	4	JCommTable5.R1C0	4	Single-KC	29	0.6149173473519917
3460	29	BKT Controller_random(1)	AD 7_4_plus_3_7	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable5.R0C0	4	JCommTable5.R0C0	4	Single-KC	30	0.35922568233856544
3461	30	BKT Controller_random(1)	AD 7_4_plus_3_7	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	AD done	4	done	4	Single-KC	31	0.5797638667614877
3462	31	BKT Controller_random(1)	AD 7_4_plus_3_7	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable6.R0C0	4	JCommTable6.R0C0	4	Single-KC	32	0.4743906964322545
3463	32	BKT Controller_random(1)	AD 6_1_plus_5_1	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable8.R0C0	5	JCommTable8.R0C0	5	Single-KC	33	0.8005759532344222
3464	33	BKT Controller_random(1)	AD 6_1_plus_5_1	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable4.R1C0	5	JCommTable4.R1C0	5	Single-KC	34	0.7287796315342491
3465	34	BKT Controller_random(1)	AD 6_1_plus_5_1	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable5.R1C0	5	JCommTable5.R1C0	5	Single-KC	35	0.7705162234060333
3466	35	BKT Controller_random(1)	AD 6_1_plus_5_1	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	0	AD JCommTable5.R0C0	5	JCommTable5.R0C0	5	Single-KC	36	0.45256506424684506
3467	36	BKT Controller_random(1)	AD 6_1_plus_5_1	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	AD JCommTable6.R0C0	5	JCommTable6.R0C0	5	Single-KC	37	0.4860691663335075
3468	37	BKT Controller_random(1)	AD 6_1_plus_5_1	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	AD JCommTable4.R0C0	5	JCommTable4.R0C0	5	Single-KC	38	0.5644623412918055
3469	38	BKT Controller_random(1)	AD 6_1_plus_5_1	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AD JCommTable6.R1C0	5	JCommTable6.R1C0	5	Single-KC	39	0.42152655948173673
3470	39	BKT Controller_random(1)	AD 6_1_plus_5_1	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AD done	5	done	5	Single-KC	40	0.7679459167464098
3471	40	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AD JCommTable8.R0C0	6	JCommTable8.R0C0	6	Single-KC	41	0.8036264083991128
3472	41	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AD JCommTable4.R1C0	6	JCommTable4.R1C0	6	Single-KC	42	0.8088489435369628
3473	42	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable4.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AD JCommTable4.R0C0	6	JCommTable4.R0C0	6	Single-KC	43	0.656492954530361
3474	43	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable5.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AD JCommTable5.R1C0	6	JCommTable5.R1C0	6	Single-KC	44	0.8759285458450983
3475	44	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable5.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AD JCommTable5.R0C0	6	JCommTable5.R0C0	6	Single-KC	45	0.5493642493825219
3476	45	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AD JCommTable6.R0C0	6	JCommTable6.R0C0	6	Single-KC	46	0.49776286772164285
3477	46	BKT Controller_random(1)	AD 6_6_plus_9_6	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AD JCommTable6.R1C0	6	JCommTable6.R1C0	6	Single-KC	47	0.4309563311369669
3478	47	BKT Controller_random(1)	AD 6_6_plus_9_6	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	AD done	6	done	6	Single-KC	48	0.8881213489274215
3479	48	BKT Controller_random(1)	M 5_3_times_8_10	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	M  JCommTable8.R0C0	1	JCommTable8.R0C0	7	Single-KC	49	1.4504142697178028e-08
3480	49	BKT Controller_random(1)	M 5_3_times_8_10	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	1	1	1	M  JCommTable6.R0C0	1	JCommTable6.R0C0	7	Single-KC	50	0.24598683080789582
3481	50	BKT Controller_random(1)	M 5_3_times_8_10	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	1	1	1	M  JCommTable6.R1C0	1	JCommTable6.R1C0	7	Single-KC	51	0.42417241805697425
3482	51	BKT Controller_random(1)	M 5_3_times_8_10	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	0	1	1	M  done	1	done	7	Single-KC	52	0.4731967693194164
3483	52	BKT Controller_random(1)	AS 2_7_plus_1_7	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	AS JCommTable8.R0C0	1	JCommTable8.R0C0	8	Single-KC	53	2.840208329905817e-23
3484	53	BKT Controller_random(1)	AS 2_7_plus_1_7	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:04	incorrect	2	1	1	AS JCommTable6.R0C0	1	JCommTable6.R0C0	8	Single-KC	54	0.5487755948868541
3485	54	BKT Controller_random(1)	AS 2_7_plus_1_7	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	AS JCommTable6.R1C0	1	JCommTable6.R1C0	8	Single-KC	55	0.5553308693187714
3486	55	BKT Controller_random(1)	AS 2_7_plus_1_7	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	0	AS done	1	done	8	Single-KC	56	0.6237176285276113
3487	56	BKT Controller_random(1)	M 1_8_times_4_8	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04		1/1/1970 0:04	incorrect	1	0	0	M  JCommTable8.R0C0	2	JCommTable8.R0C0	9	Single-KC	57	1.4504142697178028e-08
3488	57	BKT Controller_random(1)	M 1_8_times_4_8	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	1	M  JCommTable6.R1C0	2	JCommTable6.R1C0	9	Single-KC	58	0.4738071678478494
3489	58	BKT Controller_random(1)	M 1_8_times_4_8	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	1	M  JCommTable6.R0C0	2	JCommTable6.R0C0	9	Single-KC	59	0.32001015751550843
3490	59	BKT Controller_random(1)	M 1_8_times_4_8	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	0	M  done	2	done	9	Single-KC	60	0.6726710750796174
3491	60	BKT Controller_random(1)	M 5_10_times_2_9	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	1	1	0	M  JCommTable6.R0C0	3	JCommTable6.R0C0	10	Single-KC	61	0.40436300436664596
3492	61	BKT Controller_random(1)	M 5_10_times_2_9	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	M  JCommTable6.R1C0	3	JCommTable6.R1C0	10	Single-KC	62	0.5239650248550431
3493	62	BKT Controller_random(1)	M 5_10_times_2_9	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	M  done	3	done	10	Single-KC	63	0.8246098762049499
3494	63	BKT Controller_random(1)	AS 10_7_plus_8_7	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04		1/1/1970 0:04	incorrect	1	0	0	AS JCommTable8.R0C0	2	JCommTable8.R0C0	10	Single-KC	64	2.840208329905817e-23
3495	64	BKT Controller_random(1)	AS 10_7_plus_8_7	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS JCommTable6.R1C0	2	JCommTable6.R1C0	11	Single-KC	65	0.5630045960788813
3496	65	BKT Controller_random(1)	AS 10_7_plus_8_7	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS JCommTable6.R0C0	2	JCommTable6.R0C0	11	Single-KC	66	0.5660541864865701
3497	66	BKT Controller_random(1)	AS 10_7_plus_8_7	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS done	2	done	11	Single-KC	67	0.827577897481266
3498	67	BKT Controller_random(1)	AS 5_5_plus_8_5	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	1	1	0	AS JCommTable6.R1C0	3	JCommTable6.R1C0	12	Single-KC	68	0.5706482812748191
3499	68	BKT Controller_random(1)	AS 5_5_plus_8_5	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS JCommTable6.R0C0	3	JCommTable6.R0C0	12	Single-KC	69	0.5831736904784355
3500	69	BKT Controller_random(1)	AS 5_5_plus_8_5	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	AS done	3	done	12	Single-KC	70	0.932877680495272
3501	70	BKT Controller_random(1)	M 6_10_times_6_4	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	0	M  JCommTable6.R1C0	4	JCommTable6.R1C0	13	Single-KC	71	0.5736440546788184
3502	71	BKT Controller_random(1)	M 6_10_times_6_4	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	M  JCommTable6.R0C0	4	JCommTable6.R0C0	13	Single-KC	72	0.4947722644630124
3503	72	BKT Controller_random(1)	M 6_10_times_6_4	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  done	4	done	13	Single-KC	73	0.9149402130596023
3504	73	BKT Controller_random(1)	M 2_8_times_7_3	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	incorrect	1	1	0	M  JCommTable6.R0C0	5	JCommTable6.R0C0	14	Single-KC	74	0.5855247048215412
3505	74	BKT Controller_random(1)	M 2_8_times_7_3	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R1C0	5	JCommTable6.R1C0	14	Single-KC	75	0.6218799838536659
3506	75	BKT Controller_random(1)	M 2_8_times_7_3	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  done	5	done	14	Single-KC	76	0.9609511837745585
3507	76	BKT Controller_random(1)	M 10_4_times_6_4	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R1C0	6	JCommTable6.R1C0	15	Single-KC	77	0.6678188291148303
3508	77	BKT Controller_random(1)	M 10_4_times_6_4	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R0C0	6	JCommTable6.R0C0	15	Single-KC	78	0.6708212329796721
3509	78	BKT Controller_random(1)	M 10_4_times_6_4	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  done	6	done	15	Single-KC	79	0.9825483912701294
3510	79	BKT Controller_random(1)	AS 5_5_plus_7_5	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	incorrect	1	1	0	AS JCommTable6.R1C0	4	JCommTable6.R1C0	16	Single-KC	80	0.578258420122582
3511	80	BKT Controller_random(1)	AS 5_5_plus_7_5	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	incorrect	1	1	0	AS JCommTable6.R0C0	4	JCommTable6.R0C0	16	Single-KC	81	0.6000949564504866
3512	81	BKT Controller_random(1)	AS 5_5_plus_7_5	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05		1/1/1970 0:05	incorrect	1	0	0	AS JCommTable8.R0C0	3	JCommTable8.R0C0	11	Single-KC	82	2.840208329905817e-23
3513	82	BKT Controller_random(1)	AS 5_5_plus_7_5	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AS done	4	done	16	Single-KC	83	0.9757539622733334
3514	83	BKT Controller_random(1)	AS 10_7_plus_1_7	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AS JCommTable6.R1C0	5	JCommTable6.R1C0	17	Single-KC	84	0.58583157088347
3515	84	BKT Controller_random(1)	AS 10_7_plus_1_7	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AS JCommTable6.R0C0	5	JCommTable6.R0C0	17	Single-KC	85	0.6167806938560333
3516	85	BKT Controller_random(1)	AS 10_7_plus_1_7	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AS done	5	done	17	Single-KC	86	0.9914916040170532
3517	86	BKT Controller_random(1)	M 9_10_times_7_7	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R1C0	7	JCommTable6.R1C0	18	Single-KC	87	0.7107721936414491
3518	87	BKT Controller_random(1)	M 9_10_times_7_7	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  JCommTable6.R0C0	7	JCommTable6.R0C0	18	Single-KC	88	0.7461737348450143
3519	88	BKT Controller_random(1)	M 9_10_times_7_7	1	done	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	M  done	7	done	18	Single-KC	89	0.9922963263949989
3520	89	BKT Controller_random(1)	AD 1_9_plus_7_9	1	JCommTable6.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:06	1/1/1970 0:06	incorrect	1	1	0	AD JCommTable6.R0C0	7	JCommTable6.R0C0	19	Single-KC	90	0.5094590169622832
3521	90	BKT Controller_random(1)	AD 1_9_plus_7_9	1	JCommTable6.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:06	1/1/1970 0:06	incorrect	1	1	0	AD JCommTable6.R1C0	7	JCommTable6.R1C0	19	Single-KC	91	0.4404364400436697
3522	91	BKT Controller_random(1)	AD 1_9_plus_7_9	1	JCommTable8.R0C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:06	hint	1	1	1	AD JCommTable8.R0C0	7	JCommTable8.R0C0	12	Single-KC	92	0.8066414725133985
3523	92	BKT Controller_random(1)	AD 1_9_plus_7_9	1	JCommTable4.R1C0	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	1/1/1970 0:05	correct	0	1	0	AD JCommTable4.R1C0	7	JCommTable4.R1C0	7	Single-KC	93	0.8695126557635782
3524	93	BKT Controller_random(1)	AD 1_9_plus_7_9	1	JCommTable4.R0C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	AD JCommTable4.R0C0	7	JCommTable4.R0C0	7	Single-KC	94	0.738099943741994
3525	94	BKT Controller_random(1)	AD 1_9_plus_7_9	1	JCommTable5.R1C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	AD JCommTable5.R1C0	7	JCommTable5.R1C0	7	Single-KC	95	0.9368863774781914
3526	95	BKT Controller_random(1)	AD 1_9_plus_7_9	1	JCommTable5.R0C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	AD JCommTable5.R0C0	7	JCommTable5.R0C0	7	Single-KC	96	0.6425655264582979
3527	96	BKT Controller_random(1)	AD 1_9_plus_7_9	1	done	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	correct	0	1	0	AD done	7	done	19	Single-KC	97	0.9501043646559596
3528	0	BKT Controller_random(2)	AD 5_10_plus_2_5	1	JCommTable8.R0C0	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	1/1/1970 0:06	hint	1	1	1	AD JCommTable8.R0C0	1	JCommTable8.R0C0	1	Single-KC	1	0.8205470686233484
