Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Field-num5-merged)	Opportunity (Field-num5-merged)	KC (Single-KC)	Opportunity (Single-KC)	KC (Field)	Opportunity (Field)	KC (Unique-step)	Opportunity (Unique-step)	KC (Literal-Field)	Opportunity (Literal-Field)
33	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_2_plus_2_3	1	den3	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	AD den3	3	Single-KC	34	AD JCommTable4.R1C0	3	KC163	1	den3	3
34	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_2_plus_2_3	1	num3	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	AD num3	3	Single-KC	35	AD JCommTable4.R0C0	3	KC286	1	num3	3
35	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_2_plus_2_3	1	num4	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	incorrect	2	1	0	AD num4	3	Single-KC	36	AD JCommTable5.R0C0	3	KC133	1	num4	3
36	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_2_plus_2_3	1	den4	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	4/28/2015 10:40	correct	0	1	0	AD den4	3	Single-KC	37	AD JCommTable5.R1C0	3	KC277	1	den4	3
37	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_2_plus_2_3	1	num5	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	num5	5	Single-KC	38	AD JCommTable6.R0C0	3	KC886	1	num5	7
38	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_2_plus_2_3	1	den5	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD den5	3	Single-KC	39	AD JCommTable6.R1C0	3	KC189	1	den5	7
39	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_2_plus_2_3	1	done	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD done	3	Single-KC	40	AD done	3	KC465	1	done	7
40	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_3_plus_3_2	1	check_convert	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD check_convert	4	Single-KC	41	AD JCommTable8.R0C0	8	KC656	1	check_convert	8
41	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_3_plus_3_2	1	den3	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD den3	4	Single-KC	42	AD JCommTable4.R1C0	4	KC443	1	den3	4
42	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_3_plus_3_2	1	den4	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD den4	4	Single-KC	43	AD JCommTable5.R1C0	4	KC696	1	den4	4
43	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_3_plus_3_2	1	num3	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD num3	4	Single-KC	44	AD JCommTable4.R0C0	4	KC918	1	num3	4
44	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_3_plus_3_2	1	num4	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD num4	4	Single-KC	45	AD JCommTable5.R0C0	4	KC845	1	num4	4
45	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_3_plus_3_2	1	num5	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	num5	6	Single-KC	46	AD JCommTable6.R0C0	4	KC164	1	num5	8
46	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_3_plus_3_2	1	den5	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD den5	4	Single-KC	47	AD JCommTable6.R1C0	4	KC470	1	den5	8
47	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 1_3_plus_3_2	1	done	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD done	4	Single-KC	48	AD done	4	KC868	1	done	8
48	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_2_times_2_3	1	den5	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	M den5	3	Single-KC	49	M  JCommTable6.R1C0	3	KC652	1	den5	9
49	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_2_times_2_3	1	num5	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	M num5	3	Single-KC	50	M  JCommTable6.R0C0	3	KC102	1	num5	9
50	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_2_times_2_3	1	done	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	M done	3	Single-KC	51	M  done	3	KC917	1	done	9
51	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_2_times_2_3	1	check_convert	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	M check_convert	3	Single-KC	52	AD JCommTable8.R0C0	9	KC758	1	check_convert	9
52	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_9_8	1	check_convert	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD check_convert	5	Single-KC	53	AD JCommTable8.R0C0	10	KC108	1	check_convert	10
53	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_9_8	1	den3	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD den3	5	Single-KC	54	AD JCommTable4.R1C0	5	KC123	1	den3	5
54	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_9_8	1	den4	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD den4	5	Single-KC	55	AD JCommTable5.R1C0	5	KC756	1	den4	5
55	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_9_8	1	num3	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	4/28/2015 10:41	correct	0	1	0	AD num3	5	Single-KC	56	AD JCommTable4.R0C0	5	KC17	1	num3	5
56	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_9_8	1	num4	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	AD num4	5	Single-KC	57	AD JCommTable5.R0C0	5	KC265	1	num4	5
57	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_9_8	1	num5	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	num5	7	Single-KC	58	AD JCommTable6.R0C0	5	KC125	1	num5	10
58	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_9_8	1	den5	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	AD den5	5	Single-KC	59	AD JCommTable6.R1C0	5	KC222	1	den5	10
59	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_9_8	1	done	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	AD done	5	Single-KC	60	AD done	5	KC754	1	done	10
60	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_2_5	1	check_convert	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	AD check_convert	6	Single-KC	61	AD JCommTable8.R0C0	11	KC33	1	check_convert	11
61	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_2_5	1	den3	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	AD den3	6	Single-KC	62	AD JCommTable4.R1C0	6	KC217	1	den3	6
62	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_2_5	1	num3	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	AD num3	6	Single-KC	63	AD JCommTable4.R0C0	6	KC547	1	num3	6
63	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_2_5	1	den4	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	AD den4	6	Single-KC	64	AD JCommTable5.R1C0	6	KC395	1	den4	6
64	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_2_5	1	num4	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	AD num4	6	Single-KC	65	AD JCommTable5.R0C0	6	KC160	1	num4	6
65	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_2_5	1	num5	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	num5	8	Single-KC	66	AD JCommTable6.R0C0	6	KC341	1	num5	11
66	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_2_5	1	den5	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	AD den5	6	Single-KC	67	AD JCommTable6.R1C0	6	KC710	1	den5	11
67	Stu_042c4b5851700a33a99dcf57043d0ed4	AD 5_3_plus_2_5	1	done	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	AD done	6	Single-KC	68	AD done	6	KC962	1	done	11
68	Stu_042c4b5851700a33a99dcf57043d0ed4	M 3_4_times_1_8	1	den5	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	M den5	4	Single-KC	69	M  JCommTable6.R1C0	4	KC730	1	den5	12
69	Stu_042c4b5851700a33a99dcf57043d0ed4	M 3_4_times_1_8	1	num5	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	M num5	4	Single-KC	70	M  JCommTable6.R0C0	4	KC660	1	num5	12
70	Stu_042c4b5851700a33a99dcf57043d0ed4	M 3_4_times_1_8	1	done	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	M done	4	Single-KC	71	M  done	4	KC655	1	done	12
71	Stu_042c4b5851700a33a99dcf57043d0ed4	M 3_4_times_1_8	1	check_convert	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	4/28/2015 10:42	correct	0	1	0	M check_convert	4	Single-KC	72	AD JCommTable8.R0C0	12	KC695	1	check_convert	12
72	Stu_042c4b5851700a33a99dcf57043d0ed4	M 3_7_times_2_8	1	den5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M den5	5	Single-KC	73	M  JCommTable6.R1C0	5	KC422	1	den5	13
73	Stu_042c4b5851700a33a99dcf57043d0ed4	M 3_7_times_2_8	1	num5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M num5	5	Single-KC	74	M  JCommTable6.R0C0	5	KC781	1	num5	13
74	Stu_042c4b5851700a33a99dcf57043d0ed4	M 3_7_times_2_8	1	done	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M done	5	Single-KC	75	M  done	5	KC553	1	done	13
75	Stu_042c4b5851700a33a99dcf57043d0ed4	M 3_7_times_2_8	1	check_convert	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M check_convert	5	Single-KC	76	AD JCommTable8.R0C0	13	KC614	1	check_convert	13
76	Stu_042c4b5851700a33a99dcf57043d0ed4	M 4_9_times_3_4	1	den5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M den5	6	Single-KC	77	M  JCommTable6.R1C0	6	KC410	1	den5	14
77	Stu_042c4b5851700a33a99dcf57043d0ed4	M 4_9_times_3_4	1	num5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M num5	6	Single-KC	78	M  JCommTable6.R0C0	6	KC719	1	num5	14
78	Stu_042c4b5851700a33a99dcf57043d0ed4	M 4_9_times_3_4	1	done	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M done	6	Single-KC	79	M  done	6	KC288	1	done	14
79	Stu_042c4b5851700a33a99dcf57043d0ed4	M 4_9_times_3_4	1	check_convert	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M check_convert	6	Single-KC	80	AD JCommTable8.R0C0	14	KC301	1	check_convert	14
80	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_6_plus_3_6	1	den5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	AS den5	3	Single-KC	81	AS JCommTable6.R1C0	3	KC879	1	den5	15
81	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_6_plus_3_6	1	num5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	num5	9	Single-KC	82	AS JCommTable6.R0C0	3	KC206	1	num5	15
82	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_6_plus_3_6	1	done	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	AS done	3	Single-KC	83	AS done	3	KC92	1	done	15
83	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_6_plus_3_6	1	check_convert	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	AS check_convert	3	Single-KC	84	AD JCommTable8.R0C0	15	KC524	1	check_convert	15
84	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_5_plus_4_5	1	den5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	AS den5	4	Single-KC	85	AS JCommTable6.R1C0	4	KC595	1	den5	16
85	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_5_plus_4_5	1	num5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	num5	10	Single-KC	86	AS JCommTable6.R0C0	4	KC549	1	num5	16
86	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_5_plus_4_5	1	done	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	AS done	4	Single-KC	87	AS done	4	KC723	1	done	16
87	Stu_042c4b5851700a33a99dcf57043d0ed4	AS 2_5_plus_4_5	1	check_convert	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	AS check_convert	4	Single-KC	88	AD JCommTable8.R0C0	16	KC394	1	check_convert	16
88	Stu_042c4b5851700a33a99dcf57043d0ed4	M 5_3_times_9_8	1	den5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M den5	7	Single-KC	89	M  JCommTable6.R1C0	7	KC744	1	den5	17
89	Stu_042c4b5851700a33a99dcf57043d0ed4	M 5_3_times_9_8	1	num5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M num5	7	Single-KC	90	M  JCommTable6.R0C0	7	KC866	1	num5	17
90	Stu_042c4b5851700a33a99dcf57043d0ed4	M 5_3_times_9_8	1	done	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M done	7	Single-KC	91	M  done	7	KC740	1	done	17
91	Stu_042c4b5851700a33a99dcf57043d0ed4	M 5_3_times_9_8	1	check_convert	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M check_convert	7	Single-KC	92	AD JCommTable8.R0C0	17	KC9	1	check_convert	17
92	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_3_times_3_2	1	den5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M den5	8	Single-KC	93	M  JCommTable6.R1C0	8	KC350	1	den5	18
93	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_3_times_3_2	1	num5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M num5	8	Single-KC	94	M  JCommTable6.R0C0	8	KC507	1	num5	18
94	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_3_times_3_2	1	done	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M done	8	Single-KC	95	M  done	8	KC818	1	done	18
95	Stu_042c4b5851700a33a99dcf57043d0ed4	M 1_3_times_3_2	1	check_convert	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M check_convert	8	Single-KC	96	AD JCommTable8.R0C0	18	KC610	1	check_convert	18
96	Stu_042c4b5851700a33a99dcf57043d0ed4	M 3_2_times_1_4	1	den5	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	4/28/2015 10:43	correct	0	1	0	M den5	9	Single-KC	97	M  JCommTable6.R1C0	9	KC749	1	den5	19
