	Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (ptype_selection)	Opportunity (ptype_selection)	KC (Selected)	Opportunity (Selected)	Prediction
10	11	BKT Controller(1)	AS 2_3_plus_4_3	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	11	AS JCommTable6.R1C0	2	JCommTable6.R1C0	4	0.16575855005107049
11	12	BKT Controller(1)	AS 2_3_plus_4_3	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	12	AS JCommTable6.R0C0	2	JCommTable6.R0C0	5	0.14359166243038343
12	13	BKT Controller(1)	AS 2_3_plus_4_3	1	done	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	correct	0	1	0	Single-KC	13	AS done	1	done	4	0.49476645660563545
13	14	BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	14	AD JCommTable6.R1C0	1	JCommTable6.R1C0	5	0.04233985366918187
14	15	BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R0C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	15	AD JCommTable6.R0C0	1	JCommTable6.R0C0	6	0.03149164697514277
15	16	BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	16	AD JCommTable6.R1C0	2	JCommTable6.R1C0	6	0.056115808443343476
16	17	BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable8.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	17	AD JCommTable8.R0C0	1	JCommTable8.R0C0	1	0.07956255344423584
17	18	BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable4.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	18	AD JCommTable4.R1C0	1	JCommTable4.R1C0	1	0.1153462880477722
18	19	BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:00	1/1/1970 0:00		1/1/1970 0:00	incorrect	1	0	0	Single-KC	19	AD JCommTable6.R1C0	3	JCommTable6.R1C0	7	0.07402751433098992
19	20	BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable4.R0C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:00	hint	0	1	1	Single-KC	20	AD JCommTable4.R0C0	1	JCommTable4.R0C0	1	0.05007188010064325
20	21	BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable5.R1C0	1/1/1970 0:00	1/1/1970 0:00	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	Single-KC	21	AD JCommTable5.R1C0	1	JCommTable5.R1C0	1	0.1474837385262394
21	22	BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	Single-KC	22	AD JCommTable5.R0C0	1	JCommTable5.R0C0	1	0.16742077432157476
22	23	BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	Single-KC	23	AD JCommTable6.R1C0	4	JCommTable6.R1C0	8	0.09706852900408942
23	24	BKT Controller(1)	AD 5_3_plus_9_8	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	Single-KC	24	AD JCommTable6.R0C0	2	JCommTable6.R0C0	7	0.04130934331916951
24	25	BKT Controller(1)	AD 5_3_plus_9_8	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	25	AD done	1	done	5	0.13833042384545147
25	26	BKT Controller(1)	M 3_4_times_4_9	1	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	26	M  JCommTable8.R0C0	1	JCommTable8.R0C0	2	1.2800135336152145e-10
26	27	BKT Controller(1)	M 3_4_times_4_9	1	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	27	M  JCommTable4.R0C0	1	JCommTable4.R0C0	2	2.6600715471843255e-13
27	28	BKT Controller(1)	M 3_4_times_4_9	1	JCommTable5.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	28	M  JCommTable5.R1C0	1	JCommTable5.R1C0	2	1.9049145945351006e-09
28	29	BKT Controller(1)	M 3_4_times_4_9	1	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	incorrect	1	1	1	Single-KC	29	M  JCommTable6.R0C0	4	JCommTable6.R0C0	8	0.4224952586166091
29	30	BKT Controller(1)	M 3_4_times_4_9	1	done	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	30	M  done	4	done	6	0.534450648590474
30	31	BKT Controller(1)	M 3_4_times_4_9	1	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	31	M  JCommTable6.R1C0	3	JCommTable6.R1C0	9	0.41589689665715457
31	32	BKT Controller(1)	M 3_4_times_4_9	1	JCommTable4.R1C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	32	M  JCommTable4.R1C0	1	JCommTable4.R1C0	2	6.209646522992732e-09
32	33	BKT Controller(1)	M 3_4_times_4_9	1	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	hint	0	1	1	Single-KC	33	M  done	5	done	7	0.658401430117379
33	34	BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	34	AS JCommTable4.R0C0	1	JCommTable4.R0C0	3	1.795518265005947e-13
34	35	BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	35	AS JCommTable6.R0C0	3	JCommTable6.R0C0	9	0.24442601163437513
35	36	BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable8.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	36	AS JCommTable8.R0C0	1	JCommTable8.R0C0	3	3.1123409814641727e-10
36	37	BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable6.R1C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	37	AS JCommTable6.R1C0	3	JCommTable6.R1C0	10	0.27116751384897997
37	38	BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	38	AS JCommTable6.R0C0	4	JCommTable6.R0C0	10	0.38429524819604716
38	39	BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable4.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	39	AS JCommTable4.R0C0	2	JCommTable4.R0C0	4	1.795518265005947e-13
39	40	BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable5.R0C0	1/1/1970 0:01	1/1/1970 0:01		1/1/1970 0:01	incorrect	1	0	0	Single-KC	40	AS JCommTable5.R0C0	1	JCommTable5.R0C0	2	4.451220162566614e-08
40	41	BKT Controller(1)	AS 2_3_plus_4_3	2	JCommTable6.R0C0	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	41	AS JCommTable6.R0C0	5	JCommTable6.R0C0	11	0.5463297760648187
41	42	BKT Controller(1)	AS 2_3_plus_4_3	2	done	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	1/1/1970 0:01	correct	0	1	0	Single-KC	42	AS done	2	done	8	0.7680266535036572
42	43	BKT Controller(1)	M 1_6_times_1_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	1	1	1	Single-KC	43	M  JCommTable6.R0C0	5	JCommTable6.R0C0	12	0.47708530617147327
43	44	BKT Controller(1)	M 1_6_times_1_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	44	M  JCommTable6.R1C0	4	JCommTable6.R1C0	11	0.48694124951907175
44	45	BKT Controller(1)	M 1_6_times_1_3	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	45	M  done	6	done	9	0.7639278388490599
45	46	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	46	AD JCommTable6.R0C0	3	JCommTable6.R0C0	13	0.054017054175495106
46	47	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	47	AD JCommTable6.R1C0	5	JCommTable6.R1C0	12	0.12630284995067448
47	48	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	Single-KC	48	AD JCommTable8.R0C0	2	JCommTable8.R0C0	4	0.26003033048044605
48	49	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	49	AD JCommTable6.R0C0	4	JCommTable6.R0C0	14	0.0703471017570212
49	50	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	50	AD JCommTable4.R0C0	2	JCommTable4.R0C0	5	0.11869844317570476
50	51	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	51	AD JCommTable5.R0C0	2	JCommTable5.R0C0	3	0.20727712597807388
51	52	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable4.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	Single-KC	52	AD JCommTable4.R1C0	2	JCommTable4.R1C0	3	0.20353663546469963
52	53	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	53	AD JCommTable5.R1C0	2	JCommTable5.R1C0	3	0.20663478761853896
53	54	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	54	AD JCommTable6.R0C0	5	JCommTable6.R0C0	15	0.09113831024513487
54	55	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	55	AD JCommTable6.R1C0	6	JCommTable6.R1C0	13	0.1627546949013521
55	56	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	56	AD JCommTable6.R0C0	6	JCommTable6.R0C0	16	0.11729906592086137
56	57	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable4.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	Single-KC	57	AD JCommTable4.R0C0	3	JCommTable4.R0C0	6	0.2560310454059535
57	58	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable5.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	58	AD JCommTable5.R0C0	3	JCommTable5.R0C0	4	0.2537301589666421
58	59	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	59	AD JCommTable6.R1C0	7	JCommTable6.R1C0	14	0.20723149717926667
59	60	BKT Controller(1)	AD 1_2_plus_2_3	1	JCommTable6.R0C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	incorrect	2	1	1	Single-KC	60	AD JCommTable6.R0C0	7	JCommTable6.R0C0	17	0.14973199103664403
60	61	BKT Controller(1)	AD 1_2_plus_2_3	1	done	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	correct	0	1	0	Single-KC	61	AD done	2	done	10	0.4562448459853199
61	62	BKT Controller(1)	AS 1_7_plus_3_7	1	JCommTable5.R1C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	62	AS JCommTable5.R1C0	1	JCommTable5.R1C0	4	1.2871873739234656e-08
62	63	BKT Controller(1)	AS 1_7_plus_3_7	1	JCommTable8.R0C0	1/1/1970 0:02	1/1/1970 0:02		1/1/1970 0:02	incorrect	1	0	0	Single-KC	63	AS JCommTable8.R0C0	2	JCommTable8.R0C0	5	3.1123409814641727e-10
63	64	BKT Controller(1)	AS 1_7_plus_3_7	1	JCommTable6.R1C0	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	1/1/1970 0:02	hint	0	1	1	Single-KC	64	AS JCommTable6.R1C0	4	JCommTable6.R1C0	15	0.4106149821824625
64	65	BKT Controller(1)	AS 1_7_plus_3_7	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	Single-KC	65	AS JCommTable6.R0C0	6	JCommTable6.R0C0	18	0.6991094775709581
65	66	BKT Controller(1)	AS 1_7_plus_3_7	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	66	AS done	3	done	11	0.9179895143079302
66	67	BKT Controller(1)	M 5_6_times_1_7	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	67	M  JCommTable6.R0C0	6	JCommTable6.R0C0	19	0.532228348933455
67	68	BKT Controller(1)	M 5_6_times_1_7	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	68	M  JCommTable6.R1C0	5	JCommTable6.R1C0	16	0.5585172019901978
68	69	BKT Controller(1)	M 5_6_times_1_7	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	69	M  done	7	done	12	0.8445517412825043
69	70	BKT Controller(1)	AS 2_9_plus_3_9	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	1	1	0	Single-KC	70	AS JCommTable6.R1C0	5	JCommTable6.R1C0	17	0.5660762210738465
70	71	BKT Controller(1)	AS 2_9_plus_3_9	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	incorrect	2	1	1	Single-KC	71	AS JCommTable6.R0C0	7	JCommTable6.R0C0	20	0.8176146685046446
71	72	BKT Controller(1)	AS 2_9_plus_3_9	1	done	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	72	AS done	4	done	13	0.9742560812333536
72	73	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	Single-KC	73	AD JCommTable6.R0C0	8	JCommTable6.R0C0	21	0.18921030063380742
73	74	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	Single-KC	74	AD JCommTable6.R1C0	8	JCommTable6.R1C0	18	0.2600869837462249
74	75	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	Single-KC	75	AD JCommTable6.R0C0	9	JCommTable6.R0C0	22	0.23620586010298378
75	76	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable8.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	76	AD JCommTable8.R0C0	3	JCommTable8.R0C0	6	0.5882374047265934
76	77	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable5.R1C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	Single-KC	77	AD JCommTable5.R1C0	3	JCommTable5.R1C0	5	0.2816711711891471
77	78	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R0C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	Single-KC	78	AD JCommTable6.R0C0	10	JCommTable6.R0C0	23	0.2906891119587511
78	79	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	Single-KC	79	AD JCommTable6.R1C0	9	JCommTable6.R1C0	19	0.32096550545032865
79	80	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable4.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	0	1	1	Single-KC	80	AD JCommTable4.R1C0	3	JCommTable4.R1C0	4	0.3337188723459592
80	81	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable4.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	81	AD JCommTable4.R0C0	4	JCommTable4.R0C0	7	0.4678973406049114
81	82	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable5.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	correct	0	1	0	Single-KC	82	AD JCommTable5.R1C0	4	JCommTable5.R1C0	6	0.37120671124232385
82	83	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03		1/1/1970 0:03	incorrect	1	0	0	Single-KC	83	AD JCommTable6.R1C0	10	JCommTable6.R1C0	20	0.38860970254452837
83	84	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable5.R0C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:03	hint	0	1	1	Single-KC	84	AD JCommTable5.R0C0	4	JCommTable5.R0C0	5	0.3065677414335287
84	85	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R1C0	1/1/1970 0:03	1/1/1970 0:03	1/1/1970 0:04	1/1/1970 0:04	hint	0	1	1	Single-KC	85	AD JCommTable6.R1C0	11	JCommTable6.R1C0	21	0.46083494657627677
85	86	BKT Controller(1)	AD 6_7_plus_1_6	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	hint	0	1	1	Single-KC	86	AD JCommTable6.R0C0	11	JCommTable6.R0C0	24	0.3519486749672082
86	87	BKT Controller(1)	AD 6_7_plus_1_6	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	87	AD done	3	done	14	0.814313819271748
87	88	BKT Controller(1)	M 3_7_times_2_8	2	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	88	M  JCommTable6.R0C0	7	JCommTable6.R0C0	25	0.5865952139816719
88	89	BKT Controller(1)	M 3_7_times_2_8	2	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	89	M  JCommTable6.R1C0	6	JCommTable6.R1C0	22	0.6277414193769879
89	90	BKT Controller(1)	M 3_7_times_2_8	2	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	90	M  done	8	done	15	0.901201845326121
90	91	BKT Controller(1)	M 1_2_times_2_3	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	91	M  JCommTable6.R0C0	8	JCommTable6.R0C0	26	0.6389300269362534
91	92	BKT Controller(1)	M 1_2_times_2_3	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	92	M  JCommTable6.R1C0	7	JCommTable6.R1C0	23	0.6920951953895399
92	93	BKT Controller(1)	M 1_2_times_2_3	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	93	M  done	9	done	16	0.9387052645398813
93	94	BKT Controller(1)	M 3_2_times_1_3	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	94	M  JCommTable6.R0C0	9	JCommTable6.R0C0	27	0.6881615967520779
94	95	BKT Controller(1)	M 3_2_times_1_3	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	95	M  JCommTable6.R1C0	8	JCommTable6.R1C0	24	0.7497587616917829
95	96	BKT Controller(1)	M 3_2_times_1_3	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	96	M  done	10	done	17	0.9625638955636033
96	97	BKT Controller(1)	AS 5_4_plus_3_4	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	incorrect	1	1	1	Single-KC	97	AS JCommTable6.R1C0	6	JCommTable6.R1C0	25	0.709538421558745
97	98	BKT Controller(1)	AS 5_4_plus_3_4	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	98	AS JCommTable6.R0C0	8	JCommTable6.R0C0	28	0.8963655165394662
98	99	BKT Controller(1)	AS 5_4_plus_3_4	1	done	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	99	AS done	5	done	18	0.9922448491167607
99	100	BKT Controller(1)	AD 1_3_plus_3_2	1	JCommTable6.R1C0	1/1/1970 0:04	1/1/1970 0:04		1/1/1970 0:04	incorrect	1	0	0	Single-KC	100	AD JCommTable6.R1C0	12	JCommTable6.R1C0	26	0.5347430294725859
100	101	BKT Controller(1)	AD 1_3_plus_3_2	1	JCommTable6.R0C0	1/1/1970 0:04	1/1/1970 0:04		1/1/1970 0:04	incorrect	1	0	0	Single-KC	101	AD JCommTable6.R0C0	12	JCommTable6.R0C0	29	0.418501110107101
101	102	BKT Controller(1)	AD 1_3_plus_3_2	1	JCommTable8.R0C0	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	1/1/1970 0:04	correct	0	1	0	Single-KC	102	AD JCommTable8.R0C0	4	JCommTable8.R0C0	7	0.853106709911844
